StudentAccount,CourseId,Time
AHMA4388,3191,2408
AHMA4388,9118,1231
AHMA4388,2310,2588
AHMA4388,1145,2432
AHMA4388,1819,652
AHMA4388,7139,1204
AHMA4388,2036,1057
AHMA4388,5365,969
AHMA4388,8686,1649
AHMA4388,4835,1791
AHMA4388,8622,237
AHMA4388,1063,3195
AHMA4388,6910,249
AHMA4388,7288,651
AHMA4388,7830,2205
AHMA4388,3288,1386
AHMA4388,9483,577
AHMA4388,5269,2936
AHMA4388,3613,610
AHMA4388,4276,1701
AHMA4388,9141,1539
AHMA4388,1414,1
AHMA4388,3006,1885
AHMA4388,3086,2472
AHMA4388,3513,687
AHMA4388,4157,863
AHMA4388,4850,3175
AHMA4388,1247,538
AHMA4388,4604,979
AHMA4388,9595,1276
AHMA4388,4309,1050
AHMA4388,9011,137
AHMA4388,6595,686
AHMA4388,8926,1836
AHMA4388,9021,3471
AHMA4388,4197,3245
AHMA4388,2820,3
AHMA4388,8036,2169
AHMA4388,2967,342
AHMA4388,7752,1108
AHMA4388,1682,3168
AHMA4388,4546,2640
AHMA4388,2242,283
AHMA4388,8338,3376
AHMA4388,2648,2222
AHMA4388,1895,2082
AHMA4388,5591,918
AHMA4388,4053,103
AHMA4388,9336,749
AHMA4388,5720,954
AHMA4388,3886,1042
AHMA4388,3972,186
AHMA4388,3212,1768
AHMA4388,3645,3510
AHMA4388,9794,742
AHMA4388,1276,1002
AHMA4388,9039,2268
AHMA4388,8109,3424
AHMA4388,2254,818
AHMA4388,9800,878
AHMA4388,8117,1472
AHMA4388,8195,583
AHMA4388,5524,2134
AHMA4388,9444,108
AHMA4388,9394,1080
AHMA4388,8516,2988
AHMA4388,2399,1940
AHMA4388,2598,2525
AHMA4388,9924,473
AHMA4388,5310,2166
AHMA4388,6088,3424
AHMA4388,5913,281
AHMA4388,2375,2826
AHMA4388,8149,2883
AHMA4388,2623,1314
AHMA4388,1071,2473
AHMA4388,7468,1961
AHMA4388,8120,1674
AHMA4388,2085,3332
AHMA4388,9054,83
AHMA4388,6282,377
AHMA4388,8791,1904
AHMA4388,8698,2170
AHMA4388,1458,1775
AHMA4388,4939,2161
AHMA4388,8492,1888
AHMA4388,2325,1106
AHMA4388,8307,1449
AHMA4388,3061,984
AHMA4388,1856,876
AHMA4388,7760,1057
AHMA4388,5382,758
AHMA4388,2534,805
